voltage,current,power,energy,frequency,pf,label
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.202,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.203,28.3,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226.1,0.204,28.4,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
226,0.203,28.3,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
225.9,0.204,28.4,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.204,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226,0.205,28.5,4064,50,0.62,HpFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.4,0.167,12.4,4064,49.9,0.33,LaptopFaiq
226.4,0.167,12.4,4064,49.9,0.33,LaptopFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.4,0.167,12.4,4064,50,0.33,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
226.3,0.193,22.1,4064,50,0.51,LaptopFaiq
